ISIN;CH0049613687;;;CH0049613901;CH0100517157;CH0100484986
SYMBOL;SARON;;;SCRON;SAION;SCION
NAME;Swiss Average Rate ON;;;Swiss Current Rate ON;SARON Index;Swiss Current Index ON
Date;Close;Fixing 12:00;Fixing 16:00;Close;Close;Close;Rate Volume;Trade Volume
06.09.2023; 1.706935; 1.716169; 1.715120; 1.660000; 10859.775386; 10822.702472; 15254801588; 12233000000
05.09.2023; 1.711051; 1.717127; 1.716403; 1.660000; 10859.259254; 10822.203448; 15648242063; 11538000000
04.09.2023; 1.709978; 1.716790; 1.716050; 1.660000; 10858.743470; 10821.704447; 15859942857; 11613000000
01.09.2023; 1.711618; 1.716575; 1.716251; 1.720000; 10857.194856; 10820.153558; 13573165478; 8551000000
31.08.2023; 1.705343; 1.716090; 1.715225; 1.660000; 10856.680568; 10819.654652; 12870295236; 9419000000
30.08.2023; 1.708408; 1.714941; 1.714965; 1.710000; 10856.165380; 10819.140743; 9876966666; 7438000000
29.08.2023; 1.707410; 1.712440; 1.712606; 1.660000; 10855.650518; 10818.641883; 11993976190; 9342000000
28.08.2023; 1.706795; 1.711743; 1.711325; 1.660000; 10855.135865; 10818.143046; 14756922621; 10486000000
25.08.2023; 1.706332; 1.710334; 1.709806; 1.710000; 10853.592546; 10816.601680; 11572066667; 9403000000
24.08.2023; 1.705545; 1.710547; 1.709634; 1.660000; 10853.078368; 10816.102937; 14438080953; 11067000000
23.08.2023; 1.704796; 1.710664; 1.709845; 1.660000; 10852.564440; 10815.604217; 15775607143; 12334000000
22.08.2023; 1.704182; 1.710735; 1.709641; 1.660000; 10852.050721; 10815.105520; 16231652382; 12475000000
21.08.2023; 1.703331; 1.707990; 1.707604; 1.690000; 10851.537283; 10814.597835; 15741773810; 12544000000
18.08.2023; 1.700878; 1.707024; 1.705857; 1.660000; 10849.999406; 10813.102023; 19482211905; 15158000000
17.08.2023; 1.703562; 1.705838; 1.705249; 1.660000; 10849.485996; 10812.603442; 18693642860; 13851000000
16.08.2023; 1.701861; 1.706981; 1.704799; 1.670000; 10848.973123; 10812.101881; 20772491270; 16656000000
15.08.2023; 1.701462; 1.706359; 1.704970; 1.660000; 10848.460394; 10811.603346; 21808656746; 17235000000
14.08.2023; 1.701845; 1.710171; 1.706102; 1.690000; 10847.947574; 10811.095825; 22217057142; 18227000000
11.08.2023; 1.704926; 1.712123; 1.710355; 1.690000; 10846.406547; 10809.573477; 21480582144; 15363000000
10.08.2023; 1.705461; 1.713218; 1.712898; 1.700000; 10845.892735; 10809.063049; 16440144445; 11931000000
09.08.2023; 1.699594; 1.705983; 1.705951; 1.660000; 10845.380714; 10808.564654; 16868083333; 12591000000
08.08.2023; 1.699609; 1.708307; 1.705191; 1.670000; 10844.868713; 10808.063280; 18435428572; 15141000000
07.08.2023; 1.701767; 1.711790; 1.709770; 1.660000; 10844.356086; 10807.564931; 19629380954; 15008000000
04.08.2023; 1.703302; 1.712201; 1.710833; 1.660000; 10842.817037; 10806.070091; 19324614288; 13994000000
03.08.2023; 1.704863; 1.711949; 1.711620; 1.660000; 10842.303575; 10805.571834; 17143088095; 13071000000
02.08.2023; 1.703545; 1.709727; 1.709640; 1.660000; 10841.790534; 10805.073600; 18387852383; 12481000000
31.07.2023; 1.702332; 1.708204; 1.706939; 1.660000; 10840.765279; 10804.077224; 20934166672; 15765000000
28.07.2023; 1.702673; 1.709346; 1.706919; 1.660000; 10839.227307; 10802.582867; 20249206352; 15869000000
27.07.2023; 1.702460; 1.711959; 1.710051; 1.660000; 10838.714738; 10802.084771; 17636964286; 13962000000
26.07.2023; 1.703171; 1.711535; 1.709896; 1.660000; 10838.201979; 10801.586698; 19252559525; 13938000000
25.07.2023; 1.704625; 1.709352; 1.707377; 1.700000; 10837.688807; 10801.076647; 18839219050; 12691000000
24.07.2023; 1.702515; 1.709250; 1.707463; 1.660000; 10837.176294; 10800.578620; 18800092858; 12876000000
21.07.2023; 1.699912; 1.705708; 1.705125; 1.660000; 10835.641324; 10799.084747; 17926204761; 12537000000
20.07.2023; 1.701809; 1.706003; 1.704390; 1.730000; 10835.129121; 10798.565816; 17388645239; 13252000000
19.07.2023; 1.698396; 1.707001; 1.705352; 1.660000; 10834.617969; 10798.067905; 17211169049; 13780000000
18.07.2023; 1.704150; 1.712938; 1.710371; 1.660000; 10834.105110; 10797.570017; 16515875002; 12905000000
17.07.2023; 1.705483; 1.713383; 1.711864; 1.660000; 10833.591874; 10797.072152; 18613509527; 13298000000
14.07.2023; 1.705028; 1.708634; 1.707059; 1.660000; 10832.052795; 10795.578764; 16697940475; 12062000000
13.07.2023; 1.706807; 1.712759; 1.709617; 1.660000; 10831.539258; 10795.080991; 15650886906; 11623000000
12.07.2023; 1.702762; 1.711950; 1.705652; 1.660000; 10831.026962; 10794.583241; 16153369049; 13041000000
11.07.2023; 1.704296; 1.712432; 1.709189; 1.660000; 10830.514229; 10794.085514; 19352011904; 14190000000
10.07.2023; 1.703358; 1.713597; 1.713112; 1.660000; 10830.001802; 10793.587810; 14510923810; 12362000000
07.07.2023; 1.704242; 1.712773; 1.711487; 1.660000; 10828.463942; 10792.094904; 16299119049; 12879000000
06.07.2023; 1.708765; 1.714034; 1.712984; 1.660000; 10827.949986; 10791.597291; 14957630953; 11790000000
05.07.2023; 1.707851; 1.712481; 1.711501; 1.710000; 10827.436329; 10791.084714; 13137923810; 10501000000
04.07.2023; 1.702213; 1.713356; 1.711568; 1.660000; 10826.924392; 10790.587148; 18016857142; 15135000000
