startDate,endDate,value
2022-01-06,2022-03-06,-0.7124
2022-01-06,2022-03-07,-0.7124
2022-01-06,2022-03-08,-0.7125
2022-01-06,2022-03-09,-0.7125
2022-01-06,2022-03-10,-0.7125
2022-01-06,2022-03-11,-0.7124
2022-01-06,2022-03-12,-0.7123
2022-01-06,2022-03-13,-0.7122
2022-01-06,2022-03-14,-0.7121
2022-01-06,2022-03-15,-0.7119
2022-01-06,2022-03-16,-0.7117
2022-01-06,2022-03-17,-0.7114
2022-01-06,2022-03-18,-0.7109
2022-01-06,2022-03-19,-0.7106
2022-01-06,2022-03-20,-0.7103
2022-01-06,2022-03-21,-0.7099
2022-01-06,2022-03-22,-0.7097
2022-01-06,2022-03-23,-0.7094
2022-01-06,2022-03-24,-0.7092
2022-01-06,2022-03-25,-0.7090
2022-01-06,2022-03-26,-0.7089
2022-01-06,2022-03-27,-0.7088
2022-01-06,2022-03-28,-0.7087
2022-01-06,2022-03-29,-0.7086
2022-01-06,2022-03-30,-0.7084
2022-01-06,2022-03-31,-0.7084
2022-01-06,2022-04-01,-0.7083
2022-01-06,2022-04-02,-0.7082
2022-01-06,2022-04-03,-0.7081
2022-01-06,2022-04-04,-0.7081
2022-01-06,2022-04-05,-0.7080
2022-01-06,2022-04-06,-0.7080
2022-01-06,2022-04-07,-0.7080
2022-01-06,2022-04-08,-0.7080
2022-01-06,2022-04-09,-0.7080
2022-01-06,2022-04-10,-0.7080
2022-01-06,2022-04-11,-0.7080
2022-01-06,2022-04-12,-0.7079
2022-01-06,2022-04-13,-0.7079
