date	rate
2001-02-01	3.304847
2001-02-02	3.439984
2001-02-05	3.416872
2001-02-06	3.457122
2001-02-07	3.450156
2001-02-08	3.440260
2001-02-09	3.388031
2001-02-12	3.312831
2001-02-13	3.269744
2001-02-14	3.339132
2001-02-15	3.043345
2001-02-16	3.089081
2001-02-19	3.327010
2001-02-20	3.606780
2001-02-21	3.590181
2001-02-22	3.554592
2001-02-23	3.142476
2001-02-26	3.153018
2001-02-27	3.229688
2001-02-28	3.282052
2001-03-01	3.216059
2001-03-02	3.250693
2001-03-05	3.277749
2001-03-06	3.420990
2001-03-07	3.360252
2001-03-08	3.431236
2001-03-09	3.557284
2001-03-12	3.475246
2001-03-13	3.182378
2001-03-14	3.196519
2001-03-15	3.306948
2001-03-16	2.980554
2001-03-19	3.127589
2001-03-20	3.721498
2001-03-21	3.697427
2001-03-22	3.638257
2001-03-23	3.341599
2001-03-26	3.300139
2001-03-27	3.168957
2001-03-28	3.389358
2001-03-29	3.543617
2001-03-30	3.250111
2001-04-02	3.232934
2001-04-03	3.219547
2001-04-04	3.264438
2001-04-05	3.272864
2001-04-06	3.069886
2001-04-09	2.995350
2001-04-10	3.089766
2001-04-11	3.051745
2001-04-12	2.753156
2001-04-17	3.109020
2001-04-18	2.738330
2001-04-19	2.354438
2001-04-20	2.944176
2001-04-23	2.740915
2001-04-24	2.658145
2001-04-25	2.564758
2001-04-26	2.784990
2001-04-27	2.939606
2001-04-30	3.085493
2001-05-02	2.984219
2001-05-03	2.903298
2001-05-04	3.012457
2001-05-07	3.013419
2001-05-08	3.095365
2001-05-09	3.100906
2001-05-10	3.064886
2001-05-11	3.140230
2001-05-14	3.181169
2001-05-15	3.151193
2001-05-16	3.158540
2001-05-17	3.229056
2001-05-18	3.213456
2001-05-21	3.241490
2001-05-22	3.184768
2001-05-23	3.197593
2001-05-25	3.231091
2001-05-28	3.250609
2001-05-29	3.146495
2001-05-30	3.168136
2001-05-31	3.275508
2001-06-01	3.230825
2001-06-05	3.233483
2001-06-06	3.237730
2001-06-07	3.454969
2001-06-08	3.354392
2001-06-11	3.335225
2001-06-12	3.282280
2001-06-13	3.243345
2001-06-14	3.297186
2001-06-15	3.150538
2001-06-18	3.205631
2001-06-19	3.243081
2001-06-20	3.239710
2001-06-21	3.247605
2001-06-22	3.252901
2001-06-25	3.203884
2001-06-26	3.166958
2001-06-27	3.230947
2001-06-28	3.223044
2001-06-29	3.283814
2001-07-02	3.250842
2001-07-03	3.257595
2001-07-04	3.283392
2001-07-05	3.222466
2001-07-06	3.193513
2001-07-09	3.205806
2001-07-10	3.205375
2001-07-11	3.221331
2001-07-12	3.241367
2001-07-13	3.222223
2001-07-16	3.205122
2001-07-17	3.156782
2001-07-18	2.762662
2001-07-19	2.912946
2001-07-20	3.136324
2001-07-23	3.136246
2001-07-24	3.139780
2001-07-25	3.165310
2001-07-26	3.202374
2001-07-27	3.248328
2001-07-30	3.207482
2001-07-31	3.226346
2001-08-02	3.256764
2001-08-03	3.251888
2001-08-06	3.254083
2001-08-07	3.214864
2001-08-08	3.195306
2001-08-09	3.209912
2001-08-10	3.297735
2001-08-13	3.246294
2001-08-14	3.232152
2001-08-15	3.243406
2001-08-16	3.270133
2001-08-17	3.294422
2001-08-20	3.454317
2001-08-21	3.345320
2001-08-22	3.335544
2001-08-23	3.429465
2001-08-24	3.411974
2001-08-27	3.327293
2001-08-28	3.273834
2001-08-29	3.409230
2001-08-30	3.122627
2001-08-31	3.123531
2001-09-03	3.279398
2001-09-04	3.337905
2001-09-05	3.491015
2001-09-06	3.302981
2001-09-07	3.146977
2001-09-10	3.293044
2001-09-11	3.286994
2001-09-12	2.998944
2001-09-13	2.902821
2001-09-14	2.812278
2001-09-17	2.952230
2001-09-18	2.693577
2001-09-19	2.511709
2001-09-20	2.461857
2001-09-21	1.727974
2001-09-24	2.049177
2001-09-25	1.963680
2001-09-26	1.974646
2001-09-27	1.991847
2001-09-28	2.027698
2001-10-01	1.974012
2001-10-02	1.942484
2001-10-03	1.900160
2001-10-04	2.061000
2001-10-05	2.023377
2001-10-08	1.901386
2001-10-09	1.765327
2001-10-10	2.120036
2001-10-11	2.114468
2001-10-12	2.166046
2001-10-15	2.108166
2001-10-16	2.033529
2001-10-17	2.010329
2001-10-18	2.112056
2001-10-19	1.782917
2001-10-22	2.068443
2001-10-23	2.081775
2001-10-24	2.107731
2001-10-25	2.103747
2001-10-26	2.025816
2001-10-29	2.024500
2001-10-30	2.052453
2001-10-31	2.118133
2001-11-01	2.179998
2001-11-02	2.260074
2001-11-05	2.179764
2001-11-06	2.241207
2001-11-07	2.249862
2001-11-08	2.250513
2001-11-09	2.330707
2001-11-12	2.279685
2001-11-13	2.295242
2001-11-14	2.169719
2001-11-15	2.274552
2001-11-16	0.952751
2001-11-19	1.066092
2001-11-20	1.976230
2001-11-21	2.239934
2001-11-22	2.142303
2001-11-23	2.215633
2001-11-26	2.257903
2001-11-27	2.014157
2001-11-28	2.024047
2001-11-29	2.008094
2001-11-30	1.960142
2001-12-03	1.989339
2001-12-04	2.014808
2001-12-05	1.930209
2001-12-06	2.050480
2001-12-07	1.923957
2001-12-10	1.777865
2001-12-11	1.768489
2001-12-12	1.817157
2001-12-13	1.756059
2001-12-14	1.124554
2001-12-17	1.009808
2001-12-18	0.874146
2001-12-19	0.815800
2001-12-20	1.379349
2001-12-21	1.366945
2001-12-24	0.523659
2001-12-27	0.678799
2001-12-28	1.469348
2001-12-31	1.469348
2002-01-03	1.553874
2002-01-04	1.541419
2002-01-07	1.582457
2002-01-08	1.311308
2002-01-09	0.573480
2002-01-10	1.084407
2002-01-11	1.204927
2002-01-14	1.217536
2002-01-15	1.462577
2002-01-16	1.464256
2002-01-17	0.968733
2002-01-18	0.713096
2002-01-21	1.508188
2002-01-22	1.442579
2002-01-23	1.405127
2002-01-24	1.525601
2002-01-25	1.285529
2002-01-28	1.328480
2002-01-29	1.129780
2002-01-30	1.096512
2002-01-31	1.203506
2002-02-01	1.241701
2002-02-04	1.446838
2002-02-05	1.458601
2002-02-06	1.504783
2002-02-07	1.501659
2002-02-08	1.495352
2002-02-11	1.420388
2002-02-12	1.378330
2002-02-13	1.416394
2002-02-14	1.498800
2002-02-15	1.398373
2002-02-18	1.477522
2002-02-19	1.515300
2002-02-20	1.512270
2002-02-21	1.536173
2002-02-22	1.486291
2002-02-25	1.470694
2002-02-26	1.466405
2002-02-27	1.511782
2002-02-28	1.571053
2002-03-01	1.589345
2002-03-04	1.641281
2002-03-05	1.651718
2002-03-06	1.562321
2002-03-07	1.584628
2002-03-08	1.488984
2002-03-11	1.474917
2002-03-12	1.439820
2002-03-13	1.421913
2002-03-14	1.462686
2002-03-15	1.319189
2002-03-18	1.467612
2002-03-19	1.518823
2002-03-20	1.547908
2002-03-21	1.559183
2002-03-22	1.541717
2002-03-25	1.424816
2002-03-26	1.438750
2002-03-27	1.302099
2002-03-28	1.202675
2002-04-02	1.336568
2002-04-03	1.376005
2002-04-04	1.393300
2002-04-05	1.332908
2002-04-08	1.387884
2002-04-09	1.501844
2002-04-10	1.472721
2002-04-11	1.427364
2002-04-12	0.999843
2002-04-15	1.330800
2002-04-16	1.336452
2002-04-17	1.347096
2002-04-18	1.384458
2002-04-19	1.377820
2002-04-22	1.363041
2002-04-23	1.355411
2002-04-24	1.315200
2002-04-25	1.343744
2002-04-26	1.351502
2002-04-29	1.357704
2002-04-30	1.418686
2002-05-02	1.425034
2002-05-03	1.189859
2002-05-06	1.129247
2002-05-07	1.181153
2002-05-08	1.125056
2002-05-10	1.136079
2002-05-13	1.073720
2002-05-14	1.025287
2002-05-15	1.103838
2002-05-16	1.103507
2002-05-17	0.913837
2002-05-21	1.055071
2002-05-22	1.027326
2002-05-23	1.046673
2002-05-24	1.017287
2002-05-27	1.044184
2002-05-28	1.038517
2002-05-29	0.945993
2002-05-30	0.961679
2002-05-31	0.974746
2002-06-03	1.004294
2002-06-04	1.011984
2002-06-05	1.012324
2002-06-06	1.042864
2002-06-07	1.045157
2002-06-10	1.032835
2002-06-11	1.077848
2002-06-12	1.118397
2002-06-13	1.025596
2002-06-14	1.018903
2002-06-17	1.058343
2002-06-18	1.282298
2002-06-19	1.013498
2002-06-20	0.972864
2002-06-21	0.989513
2002-06-24	0.966463
2002-06-25	0.962752
2002-06-26	0.973453
2002-06-27	1.003690
2002-06-28	0.937309
2002-07-01	0.976552
2002-07-02	1.000419
2002-07-03	0.928250
2002-07-04	0.894893
2002-07-05	0.914791
2002-07-08	0.946555
2002-07-09	0.946662
2002-07-10	0.931390
2002-07-11	0.942466
2002-07-12	0.955038
2002-07-15	0.995053
2002-07-16	1.052430
2002-07-17	1.019258
2002-07-18	0.979729
2002-07-19	0.693380
2002-07-22	0.996830
2002-07-23	1.071384
2002-07-24	1.046612
2002-07-25	1.004651
2002-07-26	1.032079
2002-07-29	0.712598
2002-07-30	0.623503
2002-07-31	0.703175
2002-08-02	0.542149
2002-08-05	0.619729
2002-08-06	0.610730
2002-08-07	0.579767
2002-08-08	0.654279
2002-08-09	0.572299
2002-08-12	0.587987
2002-08-13	0.667872
2002-08-14	0.572735
2002-08-15	0.537547
2002-08-16	0.413324
2002-08-19	0.422745
2002-08-20	0.715943
2002-08-21	0.694018
2002-08-22	0.564382
2002-08-23	0.439307
2002-08-26	0.421653
2002-08-27	0.418113
2002-08-28	0.456153
2002-08-29	0.559435
2002-08-30	0.603556
2002-09-02	0.615410
2002-09-03	0.624202
2002-09-04	0.615582
2002-09-05	0.458226
2002-09-06	0.447279
2002-09-09	0.767505
2002-09-10	0.729480
2002-09-11	0.799751
2002-09-12	0.537057
2002-09-13	0.533799
2002-09-16	0.694185
2002-09-17	0.439552
2002-09-18	0.589063
2002-09-19	0.589434
2002-09-20	0.619206
2002-09-23	0.575780
2002-09-24	0.484803
2002-09-25	0.627515
2002-09-26	0.524067
2002-09-27	0.598836
2002-09-30	0.508560
2002-10-01	0.522026
2002-10-02	0.644149
2002-10-03	0.631382
2002-10-04	0.641819
2002-10-07	0.615300
2002-10-08	0.550598
2002-10-09	0.547676
2002-10-10	0.604736
2002-10-11	0.638258
2002-10-14	0.568844
2002-10-15	0.578812
2002-10-16	0.531300
2002-10-17	0.401344
2002-10-18	0.393955
2002-10-21	0.543003
2002-10-22	0.503212
2002-10-23	0.547906
2002-10-24	0.525221
2002-10-25	0.522657
2002-10-28	0.517153
2002-10-29	0.574264
2002-10-30	0.518571
2002-10-31	0.517184
2002-11-01	0.536713
2002-11-04	0.531886
2002-11-05	0.545407
2002-11-06	0.546889
2002-11-07	0.520205
2002-11-08	0.570051
2002-11-11	0.605151
2002-11-12	0.599048
2002-11-13	0.577677
2002-11-14	0.536027
2002-11-15	0.493673
2002-11-18	0.542350
2002-11-19	0.555290
2002-11-20	0.570324
2002-11-21	0.557345
2002-11-22	0.539049
2002-11-25	0.549533
2002-11-26	0.549430
2002-11-27	0.531319
2002-11-28	0.522990
2002-11-29	0.506908
2002-12-02	0.518430
2002-12-03	0.559106
2002-12-04	0.553787
2002-12-05	0.534513
2002-12-06	0.526087
2002-12-09	0.517304
2002-12-10	0.466475
2002-12-11	0.487907
2002-12-12	0.432534
2002-12-13	0.407720
2002-12-16	0.480927
2002-12-17	0.501211
2002-12-18	0.517393
2002-12-19	0.540445
2002-12-20	0.502272
2002-12-23	0.502384
2002-12-24	0.336220
2002-12-27	0.353295
2002-12-30	0.447494
2002-12-31	0.362647
2003-01-03	0.471146
2003-01-06	0.533739
2003-01-07	0.512049
2003-01-08	0.471236
2003-01-09	0.376482
2003-01-10	0.498151
2003-01-13	0.502883
2003-01-14	0.496916
2003-01-15	0.510592
2003-01-16	0.418376
2003-01-17	0.477150
2003-01-20	0.493474
2003-01-21	0.467838
2003-01-22	0.460346
2003-01-23	0.456147
2003-01-24	0.478657
2003-01-27	0.510533
2003-01-28	0.556114
2003-01-29	0.545334
2003-01-30	0.515058
2003-01-31	0.486557
2003-02-03	0.523252
2003-02-04	0.536583
2003-02-05	0.525404
2003-02-06	0.517537
2003-02-07	0.511664
2003-02-10	0.510612
2003-02-11	0.492861
2003-02-12	0.518173
2003-02-13	0.517925
2003-02-14	0.563656
2003-02-17	0.554120
2003-02-18	0.581896
2003-02-19	0.562028
2003-02-20	0.536472
2003-02-21	0.532723
2003-02-24	0.566783
2003-02-25	0.563352
2003-02-26	0.554825
2003-02-27	0.540566
2003-02-28	0.562408
2003-03-03	0.574577
2003-03-04	0.575651
2003-03-05	0.514461
2003-03-06	0.389022
2003-03-07	0.156957
2003-03-10	0.174101
2003-03-11	0.159264
2003-03-12	0.100596
2003-03-13	0.056202
2003-03-14	0.097948
2003-03-17	0.088600
2003-03-18	0.073356
2003-03-19	0.092658
2003-03-20	0.168674
2003-03-21	0.083014
2003-03-24	0.107001
2003-03-25	0.083904
2003-03-26	0.088405
2003-03-27	0.154240
2003-03-28	0.162737
2003-03-31	0.177559
2003-04-01	0.132977
2003-04-02	0.134647
2003-04-03	0.094124
2003-04-04	0.108119
2003-04-07	0.112920
2003-04-08	0.118672
2003-04-09	0.115982
2003-04-10	0.109801
2003-04-11	0.065739
2003-04-14	0.089963
2003-04-15	0.132488
2003-04-16	0.126412
2003-04-17	0.154140
2003-04-22	0.110111
2003-04-23	0.137328
2003-04-24	0.133899
2003-04-25	0.110691
2003-04-28	0.097797
2003-04-29	0.091982
2003-04-30	0.094747
2003-05-02	0.105593
2003-05-05	0.125598
2003-05-06	0.102647
2003-05-07	0.102982
2003-05-08	0.097425
2003-05-09	0.112802
2003-05-12	0.120919
2003-05-13	0.105713
2003-05-14	0.075861
2003-05-15	0.144158
2003-05-16	0.131208
2003-05-19	0.085875
2003-05-20	0.110303
2003-05-21	0.139220
2003-05-22	0.141768
2003-05-23	0.085651
2003-05-26	0.110640
2003-05-27	0.111955
2003-05-28	0.089656
2003-05-30	0.134740
2003-06-02	0.164520
2003-06-03	0.150587
2003-06-04	0.123716
2003-06-05	0.141349
2003-06-06	0.139799
2003-06-10	0.150407
2003-06-11	0.134074
2003-06-12	0.136919
2003-06-13	0.120434
2003-06-16	0.096937
2003-06-17	0.079255
2003-06-18	0.065356
2003-06-19	0.094450
2003-06-20	0.095556
2003-06-23	0.113825
2003-06-24	0.105657
2003-06-25	0.151689
2003-06-26	0.143639
2003-06-27	0.121353
2003-06-30	0.148230
2003-07-01	0.103088
2003-07-02	0.094203
2003-07-03	0.092657
2003-07-04	0.086257
2003-07-07	0.118416
2003-07-08	0.093056
2003-07-09	0.102792
2003-07-10	0.107083
2003-07-11	0.117123
2003-07-14	0.132878
2003-07-15	0.144757
2003-07-16	0.134946
2003-07-17	0.148837
2003-07-18	0.130598
2003-07-21	0.137441
2003-07-22	0.107112
2003-07-23	0.078374
2003-07-24	0.081364
2003-07-25	0.094292
2003-07-28	0.102426
2003-07-29	0.093268
2003-07-30	0.097313
2003-07-31	0.111008
2003-08-04	0.114300
2003-08-05	0.046879
2003-08-06	0.060348
2003-08-07	0.052763
2003-08-08	0.036318
2003-08-11	0.034806
2003-08-12	0.078192
2003-08-13	0.107901
2003-08-14	0.096598
2003-08-15	0.082640
2003-08-18	0.088686
2003-08-19	0.118139
2003-08-20	0.121804
2003-08-21	0.102848
2003-08-22	0.091619
2003-08-25	0.109134
2003-08-26	0.114332
2003-08-27	0.134218
2003-08-28	0.095412
2003-08-29	0.053337
2003-09-01	0.086157
2003-09-02	0.112664
2003-09-03	0.127634
2003-09-04	0.100519
2003-09-05	0.058304
2003-09-08	0.047996
2003-09-09	0.036795
2003-09-10	0.131373
2003-09-11	0.079620
2003-09-12	0.095941
2003-09-15	0.096439
2003-09-16	0.089809
2003-09-17	0.110975
2003-09-18	0.097807
2003-09-19	0.055800
2003-09-22	0.082498
2003-09-23	0.135984
2003-09-24	0.113844
2003-09-25	0.088678
2003-09-26	0.082217
2003-09-29	0.107315
2003-09-30	0.145845
2003-10-01	0.095057
2003-10-02	0.099875
2003-10-03	0.085179
2003-10-06	0.090726
2003-10-07	0.068334
2003-10-08	0.091127
2003-10-09	0.081948
2003-10-10	0.096472
2003-10-13	0.087679
2003-10-14	0.079190
2003-10-15	0.105030
2003-10-16	0.108072
2003-10-17	0.100820
2003-10-20	0.090172
2003-10-21	0.103148
2003-10-22	0.072875
2003-10-23	0.079116
2003-10-24	0.086389
2003-10-27	0.069334
2003-10-28	0.078801
2003-10-29	0.078176
2003-10-30	0.111139
2003-10-31	0.113241
2003-11-03	0.118779
2003-11-04	0.126940
2003-11-05	0.109571
2003-11-06	0.101501
2003-11-07	0.073114
2003-11-10	0.079189
2003-11-11	0.054263
2003-11-12	0.056227
2003-11-13	0.089185
2003-11-14	0.092801
2003-11-17	0.102708
2003-11-18	0.109562
2003-11-19	0.124040
2003-11-20	0.135461
2003-11-21	0.103569
2003-11-24	0.106967
2003-11-25	0.080924
2003-11-26	0.088339
2003-11-27	0.098484
2003-11-28	0.117566
2003-12-01	0.102953
2003-12-02	0.099497
2003-12-03	0.079821
2003-12-04	0.072563
2003-12-05	0.097512
2003-12-08	0.069551
2003-12-09	0.127281
2003-12-10	0.108580
2003-12-11	0.092269
2003-12-12	0.102569
2003-12-15	0.100046
2003-12-16	0.069845
2003-12-17	0.082277
2003-12-18	0.074013
2003-12-19	0.088617
2003-12-22	0.102105
2003-12-23	0.126074
2003-12-24	0.156055
2003-12-29	0.113256
2003-12-30	0.162554
2003-12-31	0.126631
2004-01-05	0.166294
2004-01-06	0.133263
2004-01-07	0.136197
2004-01-08	0.080288
2004-01-09	0.062086
2004-01-12	0.082214
2004-01-13	0.081459
2004-01-14	0.065766
2004-01-15	0.089272
2004-01-16	0.084100
2004-01-19	0.103944
2004-01-20	0.081914
2004-01-21	0.096618
2004-01-22	0.099243
2004-01-23	0.087857
2004-01-26	0.098203
2004-01-27	0.125970
2004-01-28	0.133698
2004-01-29	0.104657
2004-01-30	0.098549
2004-02-02	0.100158
2004-02-03	0.107038
2004-02-04	0.118577
2004-02-05	0.135046
2004-02-06	0.119940
2004-02-09	0.113591
2004-02-10	0.115880
